loan_id,schedule_id,Expected_payment_date,Expected_payment_amount
09u924rbwf,9924rmnkvknv364797,07/16/2022,1271803.806
09u924rbwf,9924rmnkvknv364798,08/16/2022,1271803.806
09u924rbwf,9924rmnkvknv364799,09/16/2022,1271803.806
09u924rbwf,9924rmnkvknv364800,10/16/2022,1271803.806
09u924rbwf,9924rmnkvknv364801,11/16/2022,1271803.806
09u924rbwf,9924rmnkvknv364802,12/16/2022,1271803.806
09u924rbwf,9924rmnkvknv364803,01/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364804,02/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364805,03/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364806,04/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364807,05/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364808,06/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364809,07/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364810,08/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364811,09/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364812,10/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364813,11/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364814,12/16/2023,1271803.806
09u924rbwf,9924rmnkvknv364815,01/16/2024,1271803.806
09u924rbwf,9924rmnkvknv364816,02/16/2024,1271803.806
09u924rbwf,9924rmnkvknv364817,03/16/2024,1271803.806
09u924rbwf,9924rmnkvknv364818,04/16/2024,1271803.806
3240-9rfwb,klnin09u4nj33464,04/26/2021,102907.5
3240-9rfwb,klnin09u4nj33465,05/26/2021,102907.5
3240-9rfwb,klnin09u4nj33466,06/26/2021,102907.5
3240-9rfwb,klnin09u4nj33467,07/26/2021,102907.5
3240-9rfwb,klnin09u4nj33468,08/26/2021,102907.5
3240-9rfwb,klnin09u4nj33469,09/26/2021,102907.5
3240-9rfwb,klnin09u4nj33470,10/26/2021,102907.5
3240-9rfwb,klnin09u4nj33471,11/26/2021,102907.5
3240-9rfwb,klnin09u4nj33472,12/26/2021,102907.5
3240-9rfwb,klnin09u4nj33473,01/26/2022,102907.5
3240-9rfwb,klnin09u4nj33474,02/26/2022,102907.5
3240-9rfwb,klnin09u4nj33475,03/26/2022,102907.5
